latitude,longitude,altitude,geometry,coordinates,LST_Day_1km_max,LST_Day_1km_mean,LST_Day_1km_min,area_name,color_max,color_min,full_coordinates
,,,Polygon,"55.50617346017904,25.31998050109302,55.496718257884844,25.306559411239334,55.49261685714233,25.3011308451329,55.488687477413535,25.2957021702971,55.50099826519425,25.289656097487086,55.50715339620104,25.286729676227342,55.51296500369302,25.283841921619274,55.52295682674818,25.27891963371103,55.543041174670975,25.307438465904767,55.54372781862286,25.313568165029796,55.50877144389501,25.319403628903846,55.50747245594882,25.319769654652006,55.50617346017904,25.31998050109302",49.07545454545458,47.50589930679237,45.77341463414639,muwaileh_suburb,48.686440677966154,36.716608695652205,"55.50617346017904,25.319980501093017,55.49671825788484,25.30655941123933,55.49261685714233,25.301130845132903,55.488687477413535,25.2957021702971,55.50099826519425,25.28965609748709,55.50715339620104,25.286729676227342,55.51296500369302,25.283841921619274,55.52295682674818,25.27891963371103,55.54304117467097,25.30743846590477,55.54372781862286,25.313568165029796,55.50877144389501,25.31940362890385,55.50747245594882,25.319769654652006,55.50617346017904,25.319980501093017"
,,,Polygon,"55.378557661304534,25.35646371010576,55.378257253894866,25.354214395757126,55.3816475660897,25.348978760663243,55.38452289415366,25.353089722891177,55.37920139146811,25.357278106706648,55.378557661304534,25.35646371010576",38.637191011235984,38.611584039687266,38.58158730158735,jubail,48.686440677966154,36.716608695652205,"55.378557661304534,25.356463710105764,55.378257253894866,25.35421439575713,55.38164756608969,25.348978760663243,55.384522894153655,25.353089722891177,55.37920139146811,25.357278106706644,55.378557661304534,25.356463710105764"
,,,Polygon,"55.426873840190524,25.355515390381203,55.41241136918222,25.35345996796896,55.411381400920504,25.35256798133378,55.40520159135019,25.343686538146873,55.42341648951572,25.33319104120925,55.435713609996306,25.35031081886124,55.43129382298869,25.352961639023945,55.42886927820643,25.354839645041856,55.426873840190524,25.355515390381203",42.99571428571429,42.25942833635332,40.92291338582679,halwan,48.686440677966154,36.716608695652205,"55.426873840190524,25.355515390381207,55.41241136918222,25.35345996796896,55.411381400920504,25.352567981333785,55.40520159135019,25.343686538146873,55.42341648951573,25.33319104120925,55.435713609996306,25.35031081886124,55.431293822988685,25.352961639023945,55.42886927820643,25.354839645041856,55.426873840190524,25.355515390381207"
,,,Polygon,"55.435941050577874,25.350262837884706,55.423731635142076,25.332848057847183,55.45154077820849,25.316427774544476,55.46501619629931,25.334194010356264,55.455283416802295,25.341261358238825,55.44742990880669,25.345178660226303,55.441717788992214,25.3478178214229,55.435941050577874,25.350262837884706",46.852131147541,43.649788351214205,42.484015748031524,mughaider_suburb,48.686440677966154,36.716608695652205,"55.435941050577874,25.350262837884706,55.42373163514208,25.332848057847183,55.45154077820849,25.316427774544476,55.46501619629931,25.334194010356264,55.455283416802295,25.341261358238828,55.44742990880669,25.345178660226303,55.441717788992214,25.347817821422897,55.435941050577874,25.350262837884706"
,,,Polygon,"55.38247146894855,25.348937055797354,55.37453998669653,25.33761991227408,55.36997993944833,25.331160920226967,55.370044312464685,25.33067605633605,55.370366177546465,25.33048211023586,55.372683606135325,25.329803296437966,55.37433584688851,25.32904689943617,55.37558039187142,25.328002482138896,55.377790532099695,25.324536542298365,55.37947495936105,25.321142268555217,55.38074095387005,25.316060084453547,55.38147051472213,25.315245410411713,55.382371736951114,25.314779879927748,55.38829763287141,25.321051788314303,55.394863680539856,25.328139899386592,55.39437015408112,25.328915696933883,55.39437015408112,25.32973027900756,55.39394100063875,25.330409093214925,55.39153774136139,25.334249170475005,55.38944303775752,25.33731920477141,55.38888513828242,25.33834705749174,55.38852035785639,25.34030577152136,55.38757622028314,25.342594129926248,55.3869883468614,25.344776607551147,55.38630170135359,25.346134063354004,55.38527173309187,25.347200625083495,55.384906952665844,25.34758846338062,55.38387698440413,25.348461095002072,55.38325471191267,25.34895558345949,55.38308305053572,25.348907104288365,55.38247146894855,25.348937055797354",39.581406250000036,37.78051348379275,35.87834951456313,majaz,48.686440677966154,36.716608695652205,"55.38247146894855,25.348937055797354,55.37453998669653,25.337619912274075,55.36997993944833,25.331160920226967,55.370044312464685,25.33067605633605,55.370366177546465,25.33048211023586,55.372683606135325,25.329803296437966,55.37433584688851,25.329046899436175,55.37558039187142,25.3280024821389,55.377790532099695,25.32453654229836,55.37947495936105,25.321142268555214,55.38074095387005,25.316060084453547,55.381470514722125,25.31524541041171,55.382371736951114,25.314779879927748,55.38829763287141,25.3210517883143,55.394863680539856,25.328139899386596,55.39437015408112,25.328915696933887,55.39437015408112,25.32973027900756,55.39394100063874,25.330409093214925,55.39153774136139,25.334249170475005,55.389443037757516,25.33731920477141,55.38888513828241,25.33834705749174,55.38852035785639,25.34030577152136,55.38757622028314,25.34259412992625,55.3869883468614,25.344776607551143,55.38630170135359,25.346134063354004,55.38527173309187,25.34720062508349,55.384906952665844,25.34758846338062,55.38387698440413,25.348461095002072,55.38325471191267,25.34895558345949,55.38308305053572,25.34890710428836,55.38247146894855,25.348937055797354"
,,,Polygon,"55.4650605715286,25.334037373488094,55.43728119745151,25.29658264012932,55.45611526692536,25.281982391570253,55.461436769610906,25.278257075559942,55.472165605670476,25.27414357291932,55.506326219684155,25.32031545284715,55.48077909575914,25.327330473527905,55.4650605715286,25.334037373488094",48.46880341880345,47.40731354971165,44.786190476190505,zahia,48.686440677966154,36.716608695652205,"55.4650605715286,25.334037373488094,55.43728119745151,25.296582640129326,55.45611526692536,25.281982391570253,55.461436769610906,25.27825707555994,55.472165605670476,25.27414357291932,55.50632621968415,25.320315452847147,55.48077909575914,25.327330473527905,55.4650605715286,25.334037373488094"
,,,Polygon,"55.41448703414581,25.337873888490357,55.40520192662123,25.34328672266481,55.39548838725276,25.328529810968305,55.43686474958704,25.296831180451765,55.45107814672561,25.316491572463836,55.41448703414581,25.337873888490357",48.427948717948745,45.34255443927642,38.469626168224316,industrial,48.686440677966154,36.716608695652205,"55.41448703414581,25.337873888490353,55.40520192662124,25.343286722664814,55.395488387252755,25.328529810968302,55.43686474958704,25.296831180451765,55.45107814672561,25.316491572463836,55.41448703414581,25.337873888490353"
,,,Polygon,"55.48832894797369,25.29533364323639,55.47262177069754,25.274034113350794,55.509798436952735,25.25998330269536,55.5228076591003,25.278628659314535,55.48909868902664,25.295052763295374,55.48832894797369,25.29533364323639",49.131367521367544,47.538370222574365,45.20444444444446,noaf,48.686440677966154,36.716608695652205,"55.4883289479737,25.295333643236393,55.47262177069754,25.274034113350798,55.509798436952735,25.259983302695364,55.5228076591003,25.278628659314535,55.48909868902664,25.29505276329537,55.4883289479737,25.295333643236393"
,,,Polygon,"55.39153082247607,25.351909774811432,55.391101669033674,25.351948557186965,55.390479396542226,25.35349984200903,55.388483833035146,25.354430603349556,55.38702471133105,25.355419529423433,55.38532955523363,25.353112022669254,55.38482529993883,25.352293720136345,55.38394552465552,25.350897545469238,55.383226703365956,25.349375319960874,55.385522674282704,25.347290705289094,55.386777948101674,25.345719948638063,55.38871986742846,25.340260925856835,55.38987858172289,25.337080422473438,55.390522311886464,25.337080422473438,55.39191705000242,25.337972524184295,55.393011401852284,25.33913612323962,55.398247073849355,25.346854386043233,55.39813978689931,25.347630061156583,55.397925208767575,25.34856087013323,55.39153082247607,25.351909774811432",39.74920000000001,39.33478523971537,38.469626168224316,qasmiyah,48.686440677966154,36.716608695652205,"55.391530822476064,25.351909774811432,55.39110166903368,25.351948557186965,55.390479396542226,25.353499842009025,55.388483833035146,25.354430603349556,55.387024711331044,25.355419529423433,55.38532955523363,25.353112022669254,55.38482529993883,25.35229372013634,55.38394552465552,25.350897545469238,55.383226703365956,25.34937531996087,55.385522674282704,25.347290705289094,55.386777948101674,25.345719948638063,55.388719867428456,25.340260925856832,55.38987858172289,25.33708042247344,55.390522311886464,25.33708042247344,55.39191705000242,25.337972524184288,55.393011401852284,25.33913612323962,55.398247073849355,25.346854386043237,55.39813978689931,25.34763006115659,55.39792520876757,25.34856087013323,55.391530822476064,25.351909774811432"
,,,Polygon,"55.394992263556745,25.341513276706884,55.393108930012794,25.338724814635665,55.390345929242734,25.336537513969564,55.39549678382679,25.328994760903228,55.40483172521696,25.343308612356317,55.404724436856355,25.343696463132513,55.39884503469571,25.347012536500383,55.394992263556745,25.341513276706884",41.126825396825446,39.44683892400869,38.469626168224316,abushagarah,48.686440677966154,36.716608695652205,"55.394992263556745,25.341513276706888,55.39310893001279,25.33872481463567,55.39034592924273,25.336537513969567,55.395496783826786,25.328994760903225,55.40483172521695,25.343308612356317,55.404724436856355,25.343696463132513,55.39884503469571,25.347012536500383,55.394992263556745,25.341513276706888"
