latitude,longitude,altitude,geometry,coordinates,NDBI_max,NDBI_mean,NDBI_min,area_name,centroid_lat,centroid_lon,geometry_type
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.4422535211267606,0.033307501929950585,-0.4607967982535929,muwaileh_suburb,25.30160658284267,55.516946501810445,polygon
,,,Polygon,"55.38175533670663,25.34885569558319,55.38478086847544,25.352927879945508,55.37898729700327,25.35725200178246,55.37855814356089,25.356573338182795,55.37825773615123,25.355138436887135,55.378365024511815,25.354324025873634,55.38044445016049,25.350569267378635,55.38175533670663,25.34885569558319",0.40309155766944116,0.045933118945979415,-0.47519769949676494,jubail,25.353150153476793,55.38117954819799,polygon
,,,Polygon,"55.42287711212579,25.333211858828925,55.42375687533498,25.33342519462353,55.43465736073034,25.348541976430905,55.434914852364635,25.349671533003917,55.43472173348053,25.350781698019404,55.43064485390484,25.353787341085244,55.42693260724329,25.355610047769893,55.41940090012789,25.35459599406179,55.41216974568697,25.353620344057155,55.40504580624229,25.343653013003525,55.42287711212579,25.333211858828925",0.5004730368968779,0.011339420327735454,-0.4539170506912442,halwan,25.345814377705064,55.42064872601926,polygon
,,,Polygon,"55.45137981899186,25.316535800521102,55.46398681853489,25.332841155160143,55.46364349578097,25.335168442490147,55.45703453276828,25.340210744833023,55.44879478667453,25.344477144229575,55.437293474418674,25.349674191109923,55.43531936858371,25.349208793030087,55.42356056426243,25.33291873212551,55.45137981899186,25.316535800521102",0.4511672224868985,-0.006902850190353139,-0.43646408839779005,mughaider_suburb,25.333736431109116,55.44437469804671,polygon
,,,Polygon,"55.3890903860845,25.321992760119258,55.39237566350164,25.325465346529967,55.39496251027634,25.328287738078146,55.39475990632932,25.329655476531528,55.38947112003007,25.337722468429313,55.38687675185924,25.345814128674764,55.38284270820726,25.349770067570507,55.36949603185703,25.33062143797884,55.37099806940055,25.330233545205804,55.37295072921149,25.329593528101817,55.374602959471964,25.328759541190056,55.37758544397511,25.324861302138697,55.37945216360618,25.3206720311807,55.38063212625666,25.31601723523746,55.381018364478464,25.3152025606465,55.382520402007884,25.314931001231837,55.3890903860845,25.321992760119258",0.6164786660127514,-0.034368791043872145,-0.5746655746655747,majaz,25.33207661442451,55.383031074729764,polygon
,,,Polygon,"55.46052534733913,25.278532048330444,55.47228415166042,25.273875253016314,55.48847285173297,25.295600097967835,55.49651758048001,25.30681388965903,55.504421025931784,25.317538940183557,55.505530460282884,25.320776114366883,55.49325667183074,25.324034628840494,55.478407962724305,25.328301598519246,55.467249973222344,25.33326661027225,55.46424589912566,25.33303387989596,55.43674278961688,25.296137508309094,55.46052534733913,25.278532048330444",0.6089030206677265,0.037584948749313965,-0.47654236123045196,zahia,25.30497190293442,55.47028598456075,polygon
,,,Polygon,"55.405205811973254,25.343556788633478,55.39541045595313,25.32873113577679,55.43633601991789,25.297096453767974,55.43743036188403,25.297212853614507,55.451234708990846,25.31647311364415,55.40534742995975,25.343489814020327,55.405205811973254,25.343556788633478",0.5703918722786647,0.05538615531553062,-0.40275776908828975,industrial,25.320591838363047,55.42337704306494,polygon
,,,Polygon,"55.4723117603078,25.274057936401597,55.509918930741996,25.25969150120688,55.51978633512498,25.274079228723537,55.52295999128306,25.279152737395304,55.48850963727302,25.295706201625077,55.4723117603078,25.274057936401597",0.5185185185185185,0.0494243158954776,-0.39978530900168685,noaf,25.277250476335052,55.498032317649994,polygon
,,,Polygon,"55.386933977195355,25.34580425246001,55.389508960063175,25.337697974829663,55.39019554335747,25.336573227452465,55.39302795607719,25.338745296699315,55.39852899663654,25.34696623323256,55.398193774963204,25.34851615166835,55.3912414891966,25.352316872010388,55.39091962700527,25.353150685415475,55.39021152093488,25.35380997946293,55.38697141244489,25.35555514662279,55.382915912414376,25.349757216342407,55.386933977195355,25.34580425246001",0.5067961165048543,0.012425407726963416,-0.5271117668756916,qasmiyah,25.34675799079763,55.39077183558759,polygon
,,,Polygon,"55.39603345362663,25.329509789925556,55.40505328805902,25.343603769969615,55.39916315706232,25.347065285723342,55.39850869806269,25.347036197768375,55.392997782409466,25.338774626012153,55.39022091202275,25.3366616536977,55.39509180359381,25.32923366342836,55.39603345362663,25.329509789925556",0.5270097830710336,0.04352251500817875,-0.36447105788423156,abushagarah,25.338646529237245,55.397503397950715,polygon
,,,Polygon,"55.405070418942934,25.34373424481219,55.411207313169,25.352770813017926,55.40505188850139,25.35615318177153,55.40404337554413,25.356385870149058,55.40320652869914,25.35553268384747,55.39861458686564,25.348706996522232,55.39900082496379,25.347310785744536,55.405070418942934,25.34373424481219",0.3399297797638047,0.029181571955075557,-0.4267463424685761,yarmouk,25.350264122839402,55.404641471119064,polygon
,,,Polygon,"55.39091768800157,25.353567442910226,55.39149704481855,25.352248853588343,55.39587444322026,25.3497571075236,55.39842786842808,25.348389958356893,55.40313108565345,25.355422330877435,55.40405794051944,25.356462871726393,55.40188605651896,25.35791169403354,55.399735575332826,25.3595737760173,55.39867838232047,25.360296421933676,55.39728858333521,25.361135397083363,55.395132088595105,25.360175603113145,55.39091768800157,25.353567442910226",0.4575628259838786,0.02683262364599851,-0.45565749235474007,mussalla,25.3549021989329,55.397260322015185,polygon
