latitude,longitude,altitude,geometry,coordinates,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,area_name,full_coordinates,geometry_type
,,,Polygon,"55.50457700276823,25.31807394042098,55.488386336912626,25.295579168002853,55.52297610436868,25.279126670141533,55.53816052802795,25.301097517221258,55.54262372382874,25.307227550865793,55.54305287727112,25.308624224016647,55.543310369336545,25.31040883850267,55.543653692090466,25.312814146869147,55.54262372382874,25.313900399509606,55.51532956489319,25.318012553407918,55.505544866406865,25.32018495570851,55.50457700276823,25.31807394042098",0.7552151714077315,0.1579093522959381,-0.25639874270318813,0.13622920395192903,muwaileh_suburb,"55.50457700276823,25.31807394042098,55.488386336912626,25.295579168002856,55.52297610436868,25.279126670141533,55.53816052802796,25.301097517221258,55.54262372382874,25.307227550865793,55.54305287727112,25.30862422401665,55.54331036933655,25.31040883850267,55.54365369209046,25.312814146869147,55.54262372382874,25.313900399509606,55.51532956489319,25.318012553407918,55.505544866406865,25.32018495570851,55.50457700276823,25.31807394042098",polygon
,,,Polygon,"55.378400895837885,25.355074044476588,55.37837943816577,25.354744402408773,55.37846526885424,25.354356587060728,55.380696866754626,25.350420190894106,55.38179120803271,25.34943122393412,55.38443050170337,25.353076787586964,55.380160424951654,25.3562374798853,55.37945232177172,25.356702850914065,55.37921628731647,25.356702851033802,55.37900171065722,25.356683460490284,55.37885150681474,25.356547727497468,55.37872276091967,25.3564313846983,55.37855109954272,25.35565576358033,55.378400895837885,25.355229169844588,55.378400895837885,25.355074044476588",0.6778453518679409,0.09497317844751194,-0.09446254071661238,0.11350563972801433,jubail,"55.378400895837885,25.355074044476584,55.378379438165766,25.354744402408773,55.37846526885424,25.354356587060725,55.38069686675463,25.350420190894102,55.38179120803271,25.34943122393412,55.38443050170336,25.353076787586968,55.380160424951654,25.3562374798853,55.37945232177172,25.35670285091406,55.37921628731647,25.356702851033802,55.37900171065722,25.356683460490288,55.37885150681474,25.356547727497468,55.37872276091967,25.3564313846983,55.37855109954272,25.355655763580334,55.378400895837885,25.355229169844588,55.378400895837885,25.355074044476584",polygon
,,,Polygon,"55.40805294009994,25.3482926022453,55.40509190956327,25.343444616547046,55.423459676897245,25.332933398908605,55.43478932777615,25.349184674589036,55.43478932777615,25.350270600872623,55.43174240130447,25.352869039595664,55.4283520261404,25.355002023016993,55.42749371925564,25.354769334453213,55.426892904436315,25.355389836294833,55.4126450101492,25.353605884917386,55.41135754982206,25.35283024567421,55.40805294009994,25.3482926022453",0.7565331582403152,0.1343758609116285,-0.2217687074829932,0.15424302908879586,halwan,"55.40805294009994,25.348292602245298,55.40509190956326,25.343444616547046,55.423459676897245,25.3329333989086,55.43478932777615,25.349184674589036,55.43478932777615,25.350270600872626,55.43174240130446,25.352869039595664,55.42835202614041,25.355002023016993,55.427493719255644,25.354769334453216,55.42689290443631,25.355389836294833,55.4126450101492,25.35360588491739,55.41135754982205,25.352830245674205,55.40805294009994,25.348292602245298",polygon
,,,Polygon,"55.435659351708736,25.35037937024448,55.423557224633534,25.33288703004641,55.451424193547055,25.316154151600188,55.46532876508025,25.334308308431197,55.45609760279364,25.340466372003082,55.452235221812195,25.342871083266473,55.44682788843818,25.345275746730874,55.435659351708736,25.35037937024448",0.7958311063602351,0.1584927937646146,-0.2858744394618834,0.18484058861333477,mughaider_suburb,"55.43565935170873,25.35037937024448,55.423557224633534,25.33288703004641,55.45142419354705,25.316154151600184,55.46532876508025,25.334308308431197,55.45609760279364,25.340466372003082,55.452235221812195,25.34287108326647,55.44682788843817,25.345275746730874,55.43565935170873,25.35037937024448",polygon
,,,Polygon,"55.37050231949982,25.33046401545168,55.37246572279337,25.329683386151572,55.37353324468842,25.32925427248194,55.374429096988166,25.328669993680148,55.377475991434544,25.32515945317243,55.37962175864646,25.320465656441968,55.380909218973606,25.31526735519106,55.38228250998924,25.314879413315555,55.39464212912985,25.327991159890146,55.394427554058865,25.328922114069744,55.39425589103172,25.32985306793861,55.393762400696474,25.330822780455012,55.393054325045284,25.33179249102931,55.39163814085976,25.333887058941432,55.38910604972312,25.337921005190843,55.386659875101536,25.345988404544226,55.38477162417472,25.34765611920182,55.38382748009268,25.348489966699802,55.382480888332495,25.348955755071863,55.369922890848606,25.331249480180787,55.37050231949982,25.33046401545168",0.8331226295828066,0.021452037008671078,-0.416882444329363,0.25786147347865296,majaz,"55.37050231949982,25.330464015451675,55.37246572279337,25.329683386151572,55.37353324468841,25.32925427248194,55.37442909698816,25.328669993680148,55.377475991434544,25.325159453172425,55.37962175864646,25.320465656441968,55.380909218973606,25.315267355191057,55.38228250998923,25.314879413315555,55.394642129129856,25.327991159890146,55.394427554058865,25.328922114069744,55.39425589103171,25.32985306793861,55.393762400696474,25.330822780455012,55.393054325045284,25.33179249102931,55.39163814085976,25.333887058941432,55.38910604972312,25.337921005190843,55.386659875101536,25.34598840454423,55.38477162417472,25.347656119201815,55.38382748009268,25.348489966699805,55.3824808883325,25.348955755071863,55.369922890848606,25.331249480180787,55.37050231949982,25.330464015451675",polygon
,,,Polygon,"55.46523510874716,25.33403279726208,55.43673932017294,25.296480081438595,55.4561523447309,25.281681407914824,55.459585572269965,25.27935309303709,55.465937043217224,25.276559056201837,55.4726318369184,25.273920184558264,55.50370254614692,25.317376638507454,55.50541915991645,25.320480074731734,55.49014878570481,25.324838117352158,55.47683411344092,25.32834986765228,55.46523510874716,25.33403279726208",0.9049767376286479,0.1603059237492712,-0.4012269938650307,0.17232554584316262,zahia,"55.46523510874716,25.334032797262076,55.43673932017294,25.29648008143859,55.4561523447309,25.281681407914828,55.459585572269965,25.27935309303709,55.46593704321723,25.276559056201837,55.4726318369184,25.27392018455826,55.50370254614692,25.317376638507454,55.50541915991645,25.32048007473173,55.49014878570481,25.32483811735216,55.47683411344092,25.328349867652275,55.46523510874716,25.334032797262076",polygon
,,,Polygon,"55.40497713215911,25.343845570322397,55.39502077229584,25.328020268686654,55.407723714190375,25.31933098792453,55.414933492022406,25.313589513910735,55.423001576739196,25.306916648143556,55.42969637044036,25.302416135823893,55.43621950276458,25.296363459198936,55.452012349444274,25.31638269742658,55.42317323811615,25.33314044567543,55.40497713215911,25.343845570322397",0.7587939698492462,0.06784511874251012,-0.2789115646258503,0.12657680823017028,industrial,"55.40497713215912,25.3438455703224,55.39502077229584,25.328020268686654,55.40772371419037,25.31933098792453,55.4149334920224,25.31358951391074,55.423001576739196,25.306916648143556,55.42969637044037,25.302416135823897,55.43621950276459,25.29636345919894,55.452012349444274,25.316382697426583,55.42317323811615,25.33314044567543,55.40497713215912,25.3438455703224",polygon
,,,Polygon,"55.48840456135834,25.295897856171162,55.47261171467865,25.27416772641411,55.51003389485443,25.259730560155788,55.523423482256774,25.278979733562174,55.48840456135834,25.295897856171162",0.809810461238103,0.14631454811125855,-0.23175474719743766,0.12673535756091547,noaf,"55.48840456135834,25.295897856171162,55.47261171467865,25.274167726414106,55.51003389485443,25.259730560155788,55.523423482256774,25.278979733562178,55.48840456135834,25.295897856171162",polygon
,,,Polygon,"55.38458565949046,25.348328879458435,55.38625675286674,25.34650602691686,55.38689783748717,25.344605585217394,55.38788220848924,25.342394857793717,55.3898563143242,25.336809626563372,55.391272511728836,25.3376241587413,55.3924312349785,25.338438678971233,55.3982677217949,25.347049020191093,55.39886853661424,25.348057398440783,55.38677691216569,25.355581186122354,55.38239954705339,25.34891063500867,55.38458565949046,25.348328879458435",0.8071460606966662,0.1282867032453925,-0.18518518518518517,0.22309985686825326,qasmiyah,"55.38458565949046,25.348328879458435,55.38625675286674,25.346506026916856,55.38689783748717,25.344605585217394,55.38788220848924,25.342394857793714,55.3898563143242,25.336809626563376,55.39127251172883,25.3376241587413,55.392431234978496,25.338438678971233,55.3982677217949,25.34704902019109,55.39886853661424,25.348057398440783,55.38677691216569,25.355581186122354,55.38239954705339,25.34891063500867,55.38458565949046,25.348328879458435",polygon
,,,Polygon,"55.39328963307681,25.331895219257913,55.394920416157866,25.328404177071274,55.40522009877506,25.34391914935068,55.39878279713932,25.347797581578135,55.39234549550358,25.33825641499333,55.38959891347233,25.336860083597504,55.39328963307681,25.331895219257913",0.7499604868025921,0.04877429388029826,-0.16658801321378008,0.1300655440578733,abushagarah,"55.39328963307682,25.331895219257913,55.39492041615787,25.328404177071274,55.40522009877506,25.34391914935068,55.39878279713932,25.34779758157813,55.39234549550358,25.33825641499333,55.38959891347233,25.336860083597497,55.39328963307682,25.331895219257913",polygon
