latitude,longitude,altitude,geometry,DNB_BRDF_Corrected_NTL_max,DNB_BRDF_Corrected_NTL_mean,DNB_BRDF_Corrected_NTL_min,area_name,centroid_lat,centroid_lon,color_max,color_min,year
25.30144324825781,55.51703624408665,,Point,216.9500274658203,108.22680543701141,37.24256706237793,muwaileh_suburb,25.301443248257815,55.51703624408665,355.9043395996094,54.33857345581055,2022
25.353297902413775,55.3810816625456,,Point,306.6022644042969,233.29908827151127,178.4013458251953,jubail,25.353297902413775,55.3810816625456,355.9043395996094,54.33857345581055,2022
25.345871897368642,55.420673671701934,,Point,292.9365713936942,143.08141932742384,109.64095115661621,halwan,25.345871897368642,55.420673671701934,355.9043395996094,54.33857345581055,2022
25.33374921278311,55.44445451967561,,Point,171.73165130615234,121.91016043034988,102.02229897635324,mughaider_suburb,25.33374921278311,55.44445451967561,355.9043395996094,54.33857345581055,2022
25.331947888797444,55.38303623025247,,Point,306.6022644042969,152.46226229601317,96.15144653320313,majaz,25.331947888797444,55.38303623025247,355.9043395996094,54.33857345581055,2022
25.305104041179238,55.47033213998739,,Point,355.9043395996094,129.62885958549742,54.33857345581055,zahia,25.30510404117923,55.47033213998739,355.9043395996094,54.33857345581055,2022
25.320547703787728,55.4233189359967,,Point,200.83370208740234,113.82548966906545,71.63898468017578,industrial,25.320547703787728,55.42331893599669,355.9043395996094,54.33857345581055,2022
25.27717590237974,55.497937737619246,,Point,151.4602788289388,105.05173510511251,59.7017126083374,noaf,25.27717590237974,55.497937737619246,355.9043395996094,54.33857345581055,2022
25.346731908581635,55.39069921236536,,Point,306.6022644042969,194.2982142162457,114.38873545328777,qasmiyah,25.346731908581635,55.39069921236536,355.9043395996094,54.33857345581055,2022
25.338615922866975,55.39752058841496,,Point,194.64207967122397,143.99824525752086,112.60356267293294,abushagarah,25.338615922866975,55.39752058841496,355.9043395996094,54.33857345581055,2022
25.350297790979663,55.40471534230419,,Point,282.5866045270647,170.63854621820175,118.3536605834961,yarmouk,25.350297790979663,55.40471534230419,355.9043395996094,54.33857345581055,2022
25.354871701744845,55.39720632233019,,Point,282.5866045270647,206.26439209899934,174.77350547096947,mussalla,25.354871701744845,55.39720632233019,355.9043395996094,54.33857345581055,2022
25.35793731168824,55.39096831999655,,Point,273.82955496651783,187.18328510845063,171.17341156005858,ghuwair,25.357937311688243,55.39096831999655,355.9043395996094,54.33857345581055,2022
